province,name,address
上海,闸北店,上海市闸北区共和新路3318号
上海,杨浦店,上海市杨浦区黄兴路1618号
苏州,东环店,苏州市工业园区东环路1500号大道与东环路交叉口
南京,瑞金店,南京市秦淮区龙蟠中路260号
上海,大华店,上海市华灵路1051号
嘉兴,秀洲店,嘉兴市中山西路611号
苏州,常熟店,常熟市琴湖路168号
常州,关河店,常州市关河东路58号
南通,八仙城店,南通市崇川区人民中路29号
扬州,邗江店,扬州市邗江路2号
苏州,昆山店,昆山市开发区朝阳中路518号518号
无锡,滨湖店,无锡市青祁路66号
苏州,苏福店,苏州市解放东路13号
苏州,张家港店,张家港市杨舍镇沙洲中路288号
湖州,湖州店,湖州市滨河路666号
徐州,西关建国店,徐州市煤建路8号
马鞍山,马鞍山店,马鞍山市花山区湖北东路518号
南京,龙江店,南京市草场门大街95号
南京,鼓楼店,南京市玄武区丹凤街街道39号
上海,松江店,上海市松江区荣乐中路552-652号
衢州,衢州店,衢州市三衢路238号
苏州,何山店,苏州市高新区滨河路1823号
上海,春申店,上海市闵行区春申路2801号
宁波,北仑店,宁波市北仑区新大路1229号西区201
无锡,江阴店,江阴市延陵路528号
上海,康桥店,上海市南汇区康桥镇秀沿路1132-1180号
镇江,润州店,镇江市中山东路382号
杭州,富阳店,富阳市富春街道孙权路209号
苏州,吴江店,吴江市松陵镇笠泽路155号
无锡,宜兴店,宜兴市宜城镇阳羡东路358号
常州,溧阳店,溧阳市燕山中路11号
上海,大宁店,上海市闸北区共和新路2008号
苏州,相城店,苏州市相城区经济开发区华元路99号
淮南,淮南店,淮南市国庆中路6号
泰州,泰兴店,泰兴市中兴大道169号
上海,奉贤店,上海市奉贤区南桥镇南亭公路601号
扬州,广陵店,扬州市文昌中路168号
温州,瑞安店,瑞安市罗阳大道时代大厦大润发店
绍兴,上虞店,上虞市百官街道城北新区凤鸣路与市民大道交汇处
苏州,太仓店,太仓市城厢镇太平南路18号
绍兴,诸暨店,诸暨市苎萝东路195号
南通,如皋店,如皋市如城镇福寿路199号
南通,通州店,南通市通州区金沙镇建设路18号
苏州,盛泽店,吴江市盛泽镇舜新中路381号
上海,曹安店,上海市嘉定区新郁路807号
宿迁,宿迁店,宿迁市洪泽湖路98号
连云港,连云港店,连云港市新浦区郁州北路15号
嘉兴,平湖店,平湖市当湖街道新华中路519号
宁波,奉化店,奉化市南山路8号
常州,武进店,常州市武进区湖塘镇长虹中路与花园街东北角
合肥,清溪店,合肥市蜀山区合作化路与清溪路交叉口
宁波,慈溪店,慈溪市古塘街道北二环中路550号
上海,平型关店,上海市闸北区俞泾港路11号
盐城,建湖店,盐城市建湖县向阳西路128号
杭州,桐庐店,桐庐县桐君街道迎春南路359号
苏州,塘桥店,张家港市塘桥镇南京路828号
杭州,建德店,建德市严州大道988号
嘉兴,海盐店,海盐县新桥北路与文昌东路交接西南侧
苏州,浒关店,苏州高新区浒关镇文昌路301号
上海,三林店,上海市浦东新区长清路1200弄1号
常州,怀德店,常州市怀德中路133号
苏州,宝带店,苏州市沧浪区宝带西路1155号2幢
上海,泗泾店,上海市松江区泗泾镇横港路18弄68号
淮北,相王广场店,淮北市古城路和相山路交汇处西北角
盐城,东台店,东台市望海西路与红兰路交叉口西北角
芜湖,芜湖店,芜湖市北京中路10号
泰州,兴化店,兴化市英武南路168号
宿迁,沭阳店,沭阳县沭城镇上海南路与苏州西路交汇处
上海,华漕店,上海市闵行区繁兴路399弄2号
盐城,大丰店,大丰市幸福东大街七号
徐州,东关世茂店,徐州市三环东路与兵马俑路交汇西南角
镇江,句容店,句容市华阳东路与北大街交汇处西南角
嘉兴,嘉善店,嘉善县罗星街道施家南路318号
合肥,庐阳店,合肥市阜阳北路和凤台路的西北角
阜阳,阜阳店,阜阳市颍河西路和中南大道交汇处
杭州,石桥店,杭州市下城区石桥路399号
盐城,滨海店,滨海县人民中路62号
宁波,观海卫店,慈溪市观附公路与观海卫路交叉口西北角
宁波,象山店,宁波市象山县丹东街道丹南路570号
苏州,千灯店,昆山市千灯镇尚书路8号
盐城,盐南店,盐城市解放南路239号
合肥,翡翠店,合肥经济技术开发区翡翠路与繁华大道交叉口西南角
宿州,宿州店,宿州市东昌路与顺河路交汇处西南角
台州,黄岩店,台州市黄岩区洞天路160号
南通,任港店,南通市任港路50号
淮安,涟水店,淮安市涟水县常青西路1号
温州,龙港店,龙港市西城路以北、规划路以东、镇府路以西
安庆,安庆店,安徽省安庆市大观区湖心中路与市府路交汇处汇峰广场
黄山,黄山店,黄山市屯溪区跃进路新黄山商业步行街
金华,永康店,永康市九铃东路3117号
无锡,城南店,宜兴市宜城街道氿滨南路126号
盐城,先峰岛店,盐城市建军西路北侧，小海路西侧
